name,cost,class,url
A-7 Hunter Interceptor,80000,Starfighter,https://starwars.fandom.com/wiki/A-7_Hunter_Interceptor
A-9 Vigilance interceptor,185000,Starfighter,https://starwars.fandom.com/wiki/A-9_Vigilance_interceptor
Acclamator-class transgalactic military assault ship/Legends,29000000,Heavy cruiser,https://starwars.fandom.com/wiki/Acclamator-class_transgalactic_military_assault_ship/Legends
Adz-class patrol destroyer,4450000,Destroyer,https://starwars.fandom.com/wiki/Adz-class_patrol_destroyer
Aggressive ReConnaissance-170 starfighter,180000,Heavy assault starfighter / bombers,https://starwars.fandom.com/wiki/Aggressive_ReConnaissance-170_starfighter
Aggressive ReConnaissance-170 starfighter/Legends,155000,Starfighter,https://starwars.fandom.com/wiki/Aggressive_ReConnaissance-170_starfighter/Legends
Alpha-3 Nimbus-class V-wing starfighter,120000,Starfighter,https://starwars.fandom.com/wiki/Alpha-3_Nimbus-class_V-wing_starfighter
Alpha-3 Nimbus-class V-wing starfighter/Legends,102500,Starfighter,https://starwars.fandom.com/wiki/Alpha-3_Nimbus-class_V-wing_starfighter/Legends
Alpha-class Xg-1 Star Wing,135000,Starfighter,https://starwars.fandom.com/wiki/Alpha-class_Xg-1_Star_Wing
Alpha-class Xg-1 Star Wing/Legends,125000,Assault starfighter,https://starwars.fandom.com/wiki/Alpha-class_Xg-1_Star_Wing/Legends
Arquitens-class command cruiser,5000000,Light cruiser,https://starwars.fandom.com/wiki/Arquitens-class_command_cruiser
Arquitens-class light cruiser,4000000,Light cruiser,https://starwars.fandom.com/wiki/Arquitens-class_light_cruiser
Assertor-class Star Dreadnought,1100000000,Star Dreadnought Battlecruiser,https://starwars.fandom.com/wiki/Assertor-class_Star_Dreadnought
Assertor-class Star Dreadnought/Legends,1100000000,Star Dreadnought,https://starwars.fandom.com/wiki/Assertor-class_Star_Dreadnought/Legends
Bayonet-class light cruiser,5000000,Light cruiser,https://starwars.fandom.com/wiki/Bayonet-class_light_cruiser
Belbullab-22 starfighter/Legends,168000,Starfighter,https://starwars.fandom.com/wiki/Belbullab-22_starfighter/Legends
Belbullab-24 strike bomber,168000,Starfighter,https://starwars.fandom.com/wiki/Belbullab-24_strike_bomber
Cantwell-class Arrestor Cruiser,2200000,Arrestor cruiser Patrol and detainment cruiser,https://starwars.fandom.com/wiki/Cantwell-class_Arrestor_Cruiser
CR70 corvette/Legends,2900000,Corvette,https://starwars.fandom.com/wiki/CR70_corvette/Legends
CR90 corvette,1200000,Corvette,https://starwars.fandom.com/wiki/CR90_corvette
CR90 corvette/Legends,3500000,Corvette,https://starwars.fandom.com/wiki/CR90_corvette/Legends
CR92a Assassin-class corvette,2500000,Corvette,https://starwars.fandom.com/wiki/CR92a_Assassin-class_corvette
Curich-class shuttle,130000,Transport,https://starwars.fandom.com/wiki/Curich-class_shuttle
Delta-class T-3c shuttle,160000,Shuttle,https://starwars.fandom.com/wiki/Delta-class_T-3c_shuttle
DP20 gunship,3200000,Frigate,https://starwars.fandom.com/wiki/DP20_gunship
DP20 gunship/Legends,4800000,Frigate Corvette,https://starwars.fandom.com/wiki/DP20_gunship/Legends
Dreadnaught-class heavy cruiser/Legends,7200000,Heavy cruiser,https://starwars.fandom.com/wiki/Dreadnaught-class_heavy_cruiser/Legends
Dreadnought-class heavy cruiser,7200000,Heavy cruiser,https://starwars.fandom.com/wiki/Dreadnought-class_heavy_cruiser
EF76 Nebulon-B escort frigate,8500000,Frigate,https://starwars.fandom.com/wiki/EF76_Nebulon-B_escort_frigate
EF76 Nebulon-B escort frigate/Legends,8500000,Frigate,https://starwars.fandom.com/wiki/EF76_Nebulon-B_escort_frigate/Legends
Eta-class supply barge,750000,Supply ship,https://starwars.fandom.com/wiki/Eta-class_supply_barge
FireStar II-class Orbital Defense Platform,8500000,Battle station,https://starwars.fandom.com/wiki/FireStar_II-class_Orbital_Defense_Platform
Gamma-class assault shuttle/Legends,850000,Assault shuttle,https://starwars.fandom.com/wiki/Gamma-class_assault_shuttle/Legends
GAT-12 Skipray Blastboat,285000,Heavy starfighter,https://starwars.fandom.com/wiki/GAT-12_Skipray_Blastboat
Gladiator I,34000000,Escort frigate-classed Star Destroyer,https://starwars.fandom.com/wiki/Gladiator_I
Gladiator-class Star Destroyer,34000000,Escort frigate-classed Star Destroyer,https://starwars.fandom.com/wiki/Gladiator-class_Star_Destroyer
Gladiator-class Star Destroyer/Legends,34000000,Star Destroyer,https://starwars.fandom.com/wiki/Gladiator-class_Star_Destroyer/Legends
Gozanti-class cruiser,200000,Light cruiser,https://starwars.fandom.com/wiki/Gozanti-class_cruiser
GR-75 medium transport/Legends,350000,Medium transport,https://starwars.fandom.com/wiki/GR-75_medium_transport/Legends
Grek-class troop shuttle/Legends,40000,Armored shuttle,https://starwars.fandom.com/wiki/Grek-class_troop_shuttle/Legends
I-7 Howlrunner,165000,Starfighter,https://starwars.fandom.com/wiki/I-7_Howlrunner
IF-120 landing craft,290000,Landing craft,https://starwars.fandom.com/wiki/IF-120_landing_craft
Immobilizer 418 Interdictor-class Heavy Cruiser,52240000,Cruiser,https://starwars.fandom.com/wiki/Immobilizer_418_Interdictor-class_Heavy_Cruiser
Imperial Armored Transport,240000,Transport,https://starwars.fandom.com/wiki/Imperial_Armored_Transport
Imperial Gozanti-class cruiser,200000,Armored freighter Cruiser / transport Light cruiser,https://starwars.fandom.com/wiki/Imperial_Gozanti-class_cruiser
Imperial I-class Star Destroyer,150000000,Star Destroyer,https://starwars.fandom.com/wiki/Imperial_I-class_Star_Destroyer
Imperial I-class Star Destroyer/Legends,150000000,Star Destroyer,https://starwars.fandom.com/wiki/Imperial_I-class_Star_Destroyer/Legends
Imperial II-class Star Destroyer,150000000,Star Destroyer,https://starwars.fandom.com/wiki/Imperial_II-class_Star_Destroyer
Imperial II-class Star Destroyer/Legends,145670000,Star Destroyer,https://starwars.fandom.com/wiki/Imperial_II-class_Star_Destroyer/Legends
Interdictor-class heavy cruiser,15400000,Heavy cruiser-classed Star Destroyer,https://starwars.fandom.com/wiki/Interdictor-class_heavy_cruiser
Interdictor-class Star Destroyer/Legends,175000000,Star Destroyer,https://starwars.fandom.com/wiki/Interdictor-class_Star_Destroyer/Legends
IPV-1 System Patrol Craft,4000000,Inter-system patrol / customs craft,https://starwars.fandom.com/wiki/IPV-1_System_Patrol_Craft
IR-3F-class light frigate/Legends,2500000,Light frigate,https://starwars.fandom.com/wiki/IR-3F-class_light_frigate/Legends
ISP-6 Imperial Shuttle Pod,15000,Shuttle pod,https://starwars.fandom.com/wiki/ISP-6_Imperial_Shuttle_Pod
Kappa-class shuttle,110000,Shuttle,https://starwars.fandom.com/wiki/Kappa-class_shuttle
Katarn-class boarding shuttle,100000,Boarding shuttle,https://starwars.fandom.com/wiki/Katarn-class_boarding_shuttle
LAAT/le patrol gunship,62000,Gunship,https://starwars.fandom.com/wiki/LAAT/le_patrol_gunship
Lambda-class T-4a shuttle,140000,Multi-purpose transport,https://starwars.fandom.com/wiki/Lambda-class_T-4a_shuttle
Lambda-class T-4a shuttle/Legends,240000,Armed government transport shuttle,https://starwars.fandom.com/wiki/Lambda-class_T-4a_shuttle/Legends
Lancer-class frigate/Legends,4760000,Frigate,https://starwars.fandom.com/wiki/Lancer-class_frigate/Legends
Lictor-class dungeon ship,7800000,Dungeon ship,https://starwars.fandom.com/wiki/Lictor-class_dungeon_ship
Lone Scout-A,125000,Scouting,https://starwars.fandom.com/wiki/Lone_Scout-A
Low Altitude Assault Transport/carrier,175000,Low Altitude Assault Transport / carrier,https://starwars.fandom.com/wiki/Low_Altitude_Assault_Transport/carrier
Low Altitude Assault Transport/carrier/Legends,58000,Repulsorlift gunship,https://starwars.fandom.com/wiki/Low_Altitude_Assault_Transport/carrier/Legends
Low Altitude Assault Transport/infantry,85000,Gunship Transport Starfighter,https://starwars.fandom.com/wiki/Low_Altitude_Assault_Transport/infantry
M3-A Scyk interceptor,55000,Interceptor,https://starwars.fandom.com/wiki/M3-A_Scyk_interceptor
Maelstrom-class battle cruiser,158000000,Battlecruiser,https://starwars.fandom.com/wiki/Maelstrom-class_battle_cruiser
Maelstrom-class battle cruiser/Legends,158000000,Battlecruiser,https://starwars.fandom.com/wiki/Maelstrom-class_battle_cruiser/Legends
MC80A Home One Type Heavy Star Cruiser,112000000,Heavy Star Cruiser,https://starwars.fandom.com/wiki/MC80A_Home_One_Type_Heavy_Star_Cruiser
MedStar-class frigate/Legends,4875000,Medical frigate,https://starwars.fandom.com/wiki/MedStar-class_frigate/Legends
MRX-BR Pacifier,170000,Scout vessel,https://starwars.fandom.com/wiki/MRX-BR_Pacifier
Neutron Star-class bulk cruiser carrier conversion,5000000,Bulk cruiser,https://starwars.fandom.com/wiki/Neutron_Star-class_bulk_cruiser_carrier_conversion
Neutron Star-class bulk cruiser/Legends,5000000,Bulk cruiser,https://starwars.fandom.com/wiki/Neutron_Star-class_bulk_cruiser/Legends
Nu-class attack shuttle/Legends,85000,Shuttle,https://starwars.fandom.com/wiki/Nu-class_attack_shuttle/Legends
Nu-class attack/transport shuttle,85000,Attack shuttle Multi-purpose transport,https://starwars.fandom.com/wiki/Nu-class_attack/transport_shuttle
Onager-class Star Destroyer,376500000,Cruiser-classed Star Destroyer Superweapon,https://starwars.fandom.com/wiki/Onager-class_Star_Destroyer
PB-950 patrol boat,150000,Light corvette,https://starwars.fandom.com/wiki/PB-950_patrol_boat
Praetor Mark II-class battlecruiser,700000000,Battlecruiser,https://starwars.fandom.com/wiki/Praetor_Mark_II-class_battlecruiser
Probe-Mate hyperspace pod,22500,Hyperdrive pod,https://starwars.fandom.com/wiki/Probe-Mate_hyperspace_pod
Quasar Fire-class cruiser-carrier,1750000,Cruiser / light carrier Cruiser-carrier,https://starwars.fandom.com/wiki/Quasar_Fire-class_cruiser-carrier
Raider I-class corvette,3000000,Corvette,https://starwars.fandom.com/wiki/Raider_I-class_corvette
Raider-class corvette/Legends,3000000,Corvette,https://starwars.fandom.com/wiki/Raider-class_corvette/Legends
S-46I Medium Scout Ship,524000,Scout ship,https://starwars.fandom.com/wiki/S-46I_Medium_Scout_Ship
Scimitar assault bomber,120000,Starfighter,https://starwars.fandom.com/wiki/Scimitar_assault_bomber
Secutor-class Star Destroyer,200000000,Star Destroyer Battlecarrier Battlecruiser,https://starwars.fandom.com/wiki/Secutor-class_Star_Destroyer
Secutor-class Star Destroyer/Legends,200000000,Star Destroyer,https://starwars.fandom.com/wiki/Secutor-class_Star_Destroyer/Legends
Sentinel-class landing craft,240000,Assault shuttle,https://starwars.fandom.com/wiki/Sentinel-class_landing_craft
Sentinel-class landing craft/Legends,240000,Landing craft,https://starwars.fandom.com/wiki/Sentinel-class_landing_craft/Legends
Skywatcher-class deep space scout ship,120000,Transport,https://starwars.fandom.com/wiki/Skywatcher-class_deep_space_scout_ship
Sovereign-class Super Star Destroyer,2500000000,Super Star Destroyer,https://starwars.fandom.com/wiki/Sovereign-class_Super_Star_Destroyer
SS-39 Space Skiff,12500,Space skiff,https://starwars.fandom.com/wiki/SS-39_Space_Skiff
