ship,type,cost,has_cost,url
500-X shuttle,Shuttle,,No,https://starwars.fandom.com/wiki/500-X_shuttle
A-7 Hunter Interceptor,Starfighter,80000,Yes,https://starwars.fandom.com/wiki/A-7_Hunter_Interceptor
A-9 Vigilance interceptor,Starfighter,185000,Yes,https://starwars.fandom.com/wiki/A-9_Vigilance_interceptor
Acclamator II-class assault ship/Legends,Cruiser,,No,https://starwars.fandom.com/wiki/Acclamator_II-class_assault_ship/Legends
Acclamator-class transgalactic military assault ship/Legends,Heavy cruiser,29000000,Yes,https://starwars.fandom.com/wiki/Acclamator-class_transgalactic_military_assault_ship/Legends
Acclamator-class transport drop ship,Drop ship,,No,https://starwars.fandom.com/wiki/Acclamator-class_transport_drop_ship
Adz-class patrol destroyer,Destroyer,4450000,Yes,https://starwars.fandom.com/wiki/Adz-class_patrol_destroyer
Aerial landing platform,Mobile base,,No,https://starwars.fandom.com/wiki/Aerial_landing_platform
Aggressive ReConnaissance-170 starfighter,Heavy assault starfighter / bombers,180000,Yes,https://starwars.fandom.com/wiki/Aggressive_ReConnaissance-170_starfighter
Aggressive ReConnaissance-170 starfighter/Legends,Starfighter,155000,Yes,https://starwars.fandom.com/wiki/Aggressive_ReConnaissance-170_starfighter/Legends
Aggressor-class destroyer,Destroyer,,No,https://starwars.fandom.com/wiki/Aggressor-class_destroyer
Allanar N3 light freighter,Light freighter,,No,https://starwars.fandom.com/wiki/Allanar_N3_light_freighter
Allegiance-class battlecruiser,Battlecruiser Star Cruiser,,No,https://starwars.fandom.com/wiki/Allegiance-class_battlecruiser
Alpha-3 Nimbus-class V-wing starfighter,Starfighter,120000,Yes,https://starwars.fandom.com/wiki/Alpha-3_Nimbus-class_V-wing_starfighter
Alpha-3 Nimbus-class V-wing starfighter/Legends,Starfighter,102500,Yes,https://starwars.fandom.com/wiki/Alpha-3_Nimbus-class_V-wing_starfighter/Legends
Alpha-class Xg-1 Star Wing,Starfighter,135000,Yes,https://starwars.fandom.com/wiki/Alpha-class_Xg-1_Star_Wing
Alpha-class Xg-1 Star Wing/Legends,Assault starfighter,125000,Yes,https://starwars.fandom.com/wiki/Alpha-class_Xg-1_Star_Wing/Legends
Altor-class replenishment ship,Replenishment ship,,No,https://starwars.fandom.com/wiki/Altor-class_replenishment_ship
Altor-class supply ship,Supply ship,,No,https://starwars.fandom.com/wiki/Altor-class_supply_ship
