ship,cost,has_cost,url
500-X shuttle,,No,https://starwars.fandom.com/wiki/500-X_shuttle
A-7 Hunter Interceptor,80000,Yes,https://starwars.fandom.com/wiki/A-7_Hunter_Interceptor
A-9 Vigilance interceptor,185000,Yes,https://starwars.fandom.com/wiki/A-9_Vigilance_interceptor
Acclamator II-class assault ship/Legends,,No,https://starwars.fandom.com/wiki/Acclamator_II-class_assault_ship/Legends
Acclamator-class transgalactic military assault ship/Legends,29000000,Yes,https://starwars.fandom.com/wiki/Acclamator-class_transgalactic_military_assault_ship/Legends
Acclamator-class transport drop ship,,No,https://starwars.fandom.com/wiki/Acclamator-class_transport_drop_ship
Adz-class patrol destroyer,4450000,Yes,https://starwars.fandom.com/wiki/Adz-class_patrol_destroyer
Aerial landing platform,,No,https://starwars.fandom.com/wiki/Aerial_landing_platform
Aggressive ReConnaissance-170 starfighter,180000,Yes,https://starwars.fandom.com/wiki/Aggressive_ReConnaissance-170_starfighter
Aggressive ReConnaissance-170 starfighter/Legends,155000,Yes,https://starwars.fandom.com/wiki/Aggressive_ReConnaissance-170_starfighter/Legends
Aggressor-class destroyer,,No,https://starwars.fandom.com/wiki/Aggressor-class_destroyer
Allanar N3 light freighter,,No,https://starwars.fandom.com/wiki/Allanar_N3_light_freighter
Allegiance-class battlecruiser,,No,https://starwars.fandom.com/wiki/Allegiance-class_battlecruiser
Alpha-3 Nimbus-class V-wing starfighter,120000,Yes,https://starwars.fandom.com/wiki/Alpha-3_Nimbus-class_V-wing_starfighter
Alpha-3 Nimbus-class V-wing starfighter/Legends,102500,Yes,https://starwars.fandom.com/wiki/Alpha-3_Nimbus-class_V-wing_starfighter/Legends
Alpha-class Xg-1 Star Wing,135000,Yes,https://starwars.fandom.com/wiki/Alpha-class_Xg-1_Star_Wing
Alpha-class Xg-1 Star Wing/Legends,125000,Yes,https://starwars.fandom.com/wiki/Alpha-class_Xg-1_Star_Wing/Legends
Altor-class replenishment ship,,No,https://starwars.fandom.com/wiki/Altor-class_replenishment_ship
Altor-class supply ship,,No,https://starwars.fandom.com/wiki/Altor-class_supply_ship
Armored Interface Craft-4,,No,https://starwars.fandom.com/wiki/Armored_Interface_Craft-4
Arquitens-class command cruiser,5000000,Yes,https://starwars.fandom.com/wiki/Arquitens-class_command_cruiser
Arquitens-class light cruiser,4000000,Yes,https://starwars.fandom.com/wiki/Arquitens-class_light_cruiser
Assault corvette,,No,https://starwars.fandom.com/wiki/Assault_corvette
Assault Transport (Empire),,No,https://starwars.fandom.com/wiki/Assault_Transport_(Empire)
Assertor-class Star Dreadnought,1100000000,Yes,https://starwars.fandom.com/wiki/Assertor-class_Star_Dreadnought
Assertor-class Star Dreadnought/Legends,1100000000,Yes,https://starwars.fandom.com/wiki/Assertor-class_Star_Dreadnought/Legends
Auto-fighter,,No,https://starwars.fandom.com/wiki/Auto-fighter
Bayonet-class light cruiser,5000000,Yes,https://starwars.fandom.com/wiki/Bayonet-class_light_cruiser
Belbullab-22 starfighter/Legends,168000,Yes,https://starwars.fandom.com/wiki/Belbullab-22_starfighter/Legends
Belbullab-24 strike bomber,168000,Yes,https://starwars.fandom.com/wiki/Belbullab-24_strike_bomber
Bellator-class dreadnought,,No,https://starwars.fandom.com/wiki/Bellator-class_dreadnought
Bellator-class dreadnought/Legends,,No,https://starwars.fandom.com/wiki/Bellator-class_dreadnought/Legends
Beta-class assault shuttle,,No,https://starwars.fandom.com/wiki/Beta-class_assault_shuttle
Beta-class ETR-3 escort transport,,No,https://starwars.fandom.com/wiki/Beta-class_ETR-3_escort_transport
BFF-1 bulk freighter/Legends,,No,https://starwars.fandom.com/wiki/BFF-1_bulk_freighter/Legends
Bot-drone,,No,https://starwars.fandom.com/wiki/Bot-drone
Broadside-class cruiser kdb-1,,No,https://starwars.fandom.com/wiki/Broadside-class_cruiser_kdb-1
Builder shuttle,,No,https://starwars.fandom.com/wiki/Builder_shuttle
Burst Fire-class Deep-Space Patrol Vessel,,No,https://starwars.fandom.com/wiki/Burst_Fire-class_Deep-Space_Patrol_Vessel
Bus pod,,No,https://starwars.fandom.com/wiki/Bus_pod
C-3 passenger liner,,No,https://starwars.fandom.com/wiki/C-3_passenger_liner
Cantwell-class Arrestor Cruiser,2200000,Yes,https://starwars.fandom.com/wiki/Cantwell-class_Arrestor_Cruiser
Cargo shuttle,,No,https://starwars.fandom.com/wiki/Cargo_shuttle
Cargo tanker,,No,https://starwars.fandom.com/wiki/Cargo_tanker
Carillion ship,,No,https://starwars.fandom.com/wiki/Carillion_ship
Carrack-A,,No,https://starwars.fandom.com/wiki/Carrack-A
Carrack-class light cruiser,,No,https://starwars.fandom.com/wiki/Carrack-class_light_cruiser
Carrack-class light cruiser/Legends,,Yes,https://starwars.fandom.com/wiki/Carrack-class_light_cruiser/Legends
CC-7700 frigate,,No,https://starwars.fandom.com/wiki/CC-7700_frigate
CCR-class pinnace,,No,https://starwars.fandom.com/wiki/CCR-class_pinnace
Centurion-class battlecruiser,,No,https://starwars.fandom.com/wiki/Centurion-class_battlecruiser
Class four container transport,,No,https://starwars.fandom.com/wiki/Class_four_container_transport
Class-6 escape pod,,No,https://starwars.fandom.com/wiki/Class-6_escape_pod
Clone impound vessel,,No,https://starwars.fandom.com/wiki/Clone_impound_vessel
Combat utility vehicle,,No,https://starwars.fandom.com/wiki/Combat_utility_vehicle
Concealer-class Prison Ship,,No,https://starwars.fandom.com/wiki/Concealer-class_Prison_Ship
Continent-class crawler,,No,https://starwars.fandom.com/wiki/Continent-class_crawler
Corvette-class patrol boat,,No,https://starwars.fandom.com/wiki/Corvette-class_patrol_boat
Cosinga-class Heavy Corvette,,No,https://starwars.fandom.com/wiki/Cosinga-class_Heavy_Corvette
CR70 corvette/Legends,2900000,Yes,https://starwars.fandom.com/wiki/CR70_corvette/Legends
CR90 corvette,1200000,Yes,https://starwars.fandom.com/wiki/CR90_corvette
CR90 corvette/Legends,3500000,Yes,https://starwars.fandom.com/wiki/CR90_corvette/Legends
CR92a Assassin-class corvette,2500000,Yes,https://starwars.fandom.com/wiki/CR92a_Assassin-class_corvette
Cruisemissile assault craft,,No,https://starwars.fandom.com/wiki/Cruisemissile_assault_craft
Curich-class shuttle,130000,Yes,https://starwars.fandom.com/wiki/Curich-class_shuttle
CX Dagger vessel,,No,https://starwars.fandom.com/wiki/CX_Dagger_vessel
D-Wing Space Superiority Fighter,,No,https://starwars.fandom.com/wiki/D-Wing_Space_Superiority_Fighter
Dark Trooper hyperspace capsule,,No,https://starwars.fandom.com/wiki/Dark_Trooper_hyperspace_capsule
Delta-class DX-9 stormtrooper transport,,No,https://starwars.fandom.com/wiki/Delta-class_DX-9_stormtrooper_transport
Delta-class JV-7 escort shuttle,,No,https://starwars.fandom.com/wiki/Delta-class_JV-7_escort_shuttle
Delta-class shuttle,,No,https://starwars.fandom.com/wiki/Delta-class_shuttle
Delta-class stormtrooper transport,,No,https://starwars.fandom.com/wiki/Delta-class_stormtrooper_transport
Delta-class T-3c shuttle,160000,Yes,https://starwars.fandom.com/wiki/Delta-class_T-3c_shuttle
Detainer CC-2200,,No,https://starwars.fandom.com/wiki/Detainer_CC-2200
Detainer CC-2200/Legends,,No,https://starwars.fandom.com/wiki/Detainer_CC-2200/Legends
DP20 gunship,3200000,Yes,https://starwars.fandom.com/wiki/DP20_gunship
DP20 gunship/Legends,4800000,Yes,https://starwars.fandom.com/wiki/DP20_gunship/Legends
Dragon-class Heavy Cruiser,,No,https://starwars.fandom.com/wiki/Dragon-class_Heavy_Cruiser
Dreadnaught-class heavy cruiser/Legends,7200000,Yes,https://starwars.fandom.com/wiki/Dreadnaught-class_heavy_cruiser/Legends
Dreadnought-class heavy cruiser,7200000,Yes,https://starwars.fandom.com/wiki/Dreadnought-class_heavy_cruiser
Drone freighter,,No,https://starwars.fandom.com/wiki/Drone_freighter
Drop-sled,,No,https://starwars.fandom.com/wiki/Drop-sled
E-2T medical shuttle,,No,https://starwars.fandom.com/wiki/E-2T_medical_shuttle
Eclipse-class dreadnought,,No,https://starwars.fandom.com/wiki/Eclipse-class_dreadnought
EF76 Nebulon-B escort frigate,8500000,Yes,https://starwars.fandom.com/wiki/EF76_Nebulon-B_escort_frigate
EF76 Nebulon-B escort frigate/Legends,8500000,Yes,https://starwars.fandom.com/wiki/EF76_Nebulon-B_escort_frigate/Legends
Epsilon-class shuttle,,No,https://starwars.fandom.com/wiki/Epsilon-class_shuttle
Eta-class supply barge,750000,Yes,https://starwars.fandom.com/wiki/Eta-class_supply_barge
Evakmar-KDY transport,,No,https://starwars.fandom.com/wiki/Evakmar-KDY_transport
Executor I-class Star Dreadnought,,No,https://starwars.fandom.com/wiki/Executor_I-class_Star_Dreadnought
Executor II-class Star Dreadnought,,No,https://starwars.fandom.com/wiki/Executor_II-class_Star_Dreadnought
Executor-class Star Dreadnought,,No,https://starwars.fandom.com/wiki/Executor-class_Star_Dreadnought
Executor-class Star Dreadnought/Legends,,No,https://starwars.fandom.com/wiki/Executor-class_Star_Dreadnought/Legends
"F7 ""Landing Brick"" Drop-Ship",,No,"https://starwars.fandom.com/wiki/F7_""Landing_Brick""_Drop-Ship"
Far*Reach IV PQR,,No,https://starwars.fandom.com/wiki/Far*Reach_IV_PQR
Field Secured Container Vessel,,No,https://starwars.fandom.com/wiki/Field_Secured_Container_Vessel
Field Secured Container Vessel/Legends,,No,https://starwars.fandom.com/wiki/Field_Secured_Container_Vessel/Legends
FireStar II-class Orbital Defense Platform,8500000,Yes,https://starwars.fandom.com/wiki/FireStar_II-class_Orbital_Defense_Platform
Freighter Type H,,No,https://starwars.fandom.com/wiki/Freighter_Type_H
Freighter Type K,,No,https://starwars.fandom.com/wiki/Freighter_Type_K
Galleon (Starship class),,No,https://starwars.fandom.com/wiki/Galleon_(Starship_class)
Gamma-class assault shuttle,,No,https://starwars.fandom.com/wiki/Gamma-class_assault_shuttle
Gamma-class assault shuttle/Legends,850000,Yes,https://starwars.fandom.com/wiki/Gamma-class_assault_shuttle/Legends
Gamma-class ATR-6 assault transport,,No,https://starwars.fandom.com/wiki/Gamma-class_ATR-6_assault_transport
Gamma-class Light Personnel Carrier,,No,https://starwars.fandom.com/wiki/Gamma-class_Light_Personnel_Carrier
GAT-12 Skipray Blastboat,285000,Yes,https://starwars.fandom.com/wiki/GAT-12_Skipray_Blastboat
Gladiator I,34000000,Yes,https://starwars.fandom.com/wiki/Gladiator_I
Gladiator I-class Star Destroyer,,No,https://starwars.fandom.com/wiki/Gladiator_I-class_Star_Destroyer
Gladiator II-class Star Destroyer,,No,https://starwars.fandom.com/wiki/Gladiator_II-class_Star_Destroyer
Gladiator-class Star Destroyer,34000000,Yes,https://starwars.fandom.com/wiki/Gladiator-class_Star_Destroyer
Gladiator-class Star Destroyer/Legends,34000000,Yes,https://starwars.fandom.com/wiki/Gladiator-class_Star_Destroyer/Legends
Gozanti-class Assault Carrier,,No,https://starwars.fandom.com/wiki/Gozanti-class_Assault_Carrier
Gozanti-class cruiser,200000,Yes,https://starwars.fandom.com/wiki/Gozanti-class_cruiser
GR-75 medium transport/Legends,350000,Yes,https://starwars.fandom.com/wiki/GR-75_medium_transport/Legends
Grek-class troop shuttle/Legends,40000,Yes,https://starwars.fandom.com/wiki/Grek-class_troop_shuttle/Legends
Guardian 334-class light cruiser,,No,https://starwars.fandom.com/wiki/Guardian_334-class_light_cruiser
Guardian-class light cruiser,,No,https://starwars.fandom.com/wiki/Guardian-class_light_cruiser
H-10,,No,https://starwars.fandom.com/wiki/H-10
Harbinger courier ship,,No,https://starwars.fandom.com/wiki/Harbinger_courier_ship
Harbinger courier ship/Legends,,No,https://starwars.fandom.com/wiki/Harbinger_courier_ship/Legends
Hauler-2 cargo tug,,No,https://starwars.fandom.com/wiki/Hauler-2_cargo_tug
High-Altitude Entry Transport-221,,No,https://starwars.fandom.com/wiki/High-Altitude_Entry_Transport-221
Hunter destroyer,,No,https://starwars.fandom.com/wiki/Hunter_destroyer
I-7 Howlrunner,165000,Yes,https://starwars.fandom.com/wiki/I-7_Howlrunner
IF-120 landing craft,290000,Yes,https://starwars.fandom.com/wiki/IF-120_landing_craft
IGV-55 surveillance vessel,,No,https://starwars.fandom.com/wiki/IGV-55_surveillance_vessel
Immobilizer 418 cruiser,,No,https://starwars.fandom.com/wiki/Immobilizer_418_cruiser
Immobilizer 418 Interdictor-class Heavy Cruiser,52240000,Yes,https://starwars.fandom.com/wiki/Immobilizer_418_Interdictor-class_Heavy_Cruiser
Imperator-class Star Destroyer,,No,https://starwars.fandom.com/wiki/Imperator-class_Star_Destroyer
Imperial Action transport,,No,https://starwars.fandom.com/wiki/Imperial_Action_transport
Imperial Armored Transport,240000,Yes,https://starwars.fandom.com/wiki/Imperial_Armored_Transport
